date,open,high,low,close,volume,short_ma,long_ma,position,signal
2017-08-17,142.52,142.89,140.7,140.7,4342286.0,141.886,142.37800000000001,0,0
2017-08-18,140.87,141.15,139.58,139.7,4128761.0,141.458,141.832,0,0
2017-08-21,139.59,140.42,139.13,140.33,2949410.0,141.06,141.518,0,0
2017-08-22,140.64,141.15,140.38,141.01,2495902.0,140.848,141.40800000000002,0,0
2017-08-23,140.7,143.05,140.68,142.14,4035421.0,140.776,141.445,0,0
2017-08-24,142.5,143.68,142.25,142.94,3580245.0,141.224,141.555,0,0
2017-08-25,143.3,144.19,143.25,143.74,2866131.0,142.032,141.745,1,1
2017-08-28,144.11,144.56,142.39,142.51,5086015.0,142.46800000000002,141.764,1,0
2017-08-29,142.1,143.425,141.9,143.14,3000993.0,142.894,141.87099999999998,1,0
2017-08-30,143.26,143.28,142.41,142.56,2715466.0,142.978,141.877,1,0
2017-08-31,143.02,143.66,142.63,143.03,3614517.0,142.996,142.11,1,0
2017-09-01,142.98,144.5,142.98,144.08,3348503.0,143.064,142.548,1,0
2017-09-05,143.5,144.3575,142.7,143.04,3097503.0,143.17,142.819,1,0
